character_id,material_id
3,49
3,508
3,88
3,47
3,425
3,46
3,303
3,48
4,495
4,340
4,50
4,493
4,342
4,362
4,492
4,341
4,494
4,445
4,187
4,319
4,404
4,81
5,349
5,53
5,107
5,347
5,28
5,386
5,346
5,151
5,348
5,439
5,181
5,313
5,481
5,81
6,282
6,378
6,140
6,280
6,351
6,477
6,279
6,367
6,281
6,451
6,193
6,325
6,261
6,81
7,402
7,84
7,417
7,400
7,82
7,416
7,399
7,418
7,401
7,448
7,190
7,322
7,272
7,81
8,490
8,148
8,66
8,488
8,391
8,434
8,487
8,343
8,489
8,447
8,189
8,321
8,121
8,81
9,12
9,413
9,146
9,10
9,136
9,396
9,9
9,506
9,11
9,448
9,190
9,322
9,118
9,81
10,349
10,304
10,411
10,347
10,368
10,412
10,346
10,410
10,348
10,444
10,186
10,318
10,25
10,81
11,12
11,359
11,360
11,10
11,158
11,390
11,9
11,233
11,11
11,456
11,198
11,330
11,141
11,81
12,282
12,500
12,167
12,280
12,137
12,243
12,279
12,83
12,281
12,450
12,192
12,324
12,513
12,81
13,495
13,311
13,107
13,493
13,69
13,386
13,492
13,151
13,494
13,448
13,190
13,322
13,370
13,81
14,490
14,294
14,476
14,488
14,240
14,407
14,487
14,176
14,489
14,450
14,192
14,324
14,118
14,81
15,12
15,508
15,476
15,10
15,136
15,407
15,9
15,176
15,11
15,459
15,201
15,333
15,117
15,81
16,495
16,207
16,140
16,493
16,235
16,477
16,492
16,367
16,494
16,438
16,180
16,312
16,463
16,81
17,402
17,29
17,260
17,400
17,472
17,259
17,399
17,19
17,401
17,452
17,194
17,326
17,239
17,81
18,499
18,511
18,227
18,497
18,126
18,387
18,496
18,483
18,498
18,441
18,183
18,315
18,404
18,81
19,12
19,242
19,260
19,10
19,150
19,259
19,9
19,19
19,11
19,456
19,198
19,330
19,237
19,81
20,349
20,100
20,417
20,347
20,20
20,416
20,346
20,418
20,348
20,454
20,196
20,328
20,239
20,81
21,402
21,79
21,88
21,400
21,209
21,425
21,399
21,303
21,401
21,443
21,185
21,317
21,118
21,81
22,402
22,355
22,227
22,400
22,436
22,387
22,399
22,483
22,401
22,453
22,195
22,327
22,101
22,81
23,490
23,245
23,474
23,488
23,150
23,473
23,487
23,514
23,489
23,452
23,194
23,326
23,135
23,81
24,282
24,375
24,146
24,280
24,249
24,396
24,279
24,506
24,281
24,457
24,199
24,331
24,463
24,81
25,495
25,510
25,411
25,493
25,356
25,412
25,492
25,410
25,494
25,455
25,197
25,329
25,256
25,81
26,490
26,382
26,107
26,488
26,470
26,386
26,487
26,151
26,489
26,438
26,180
26,312
26,276
26,81
27,495
27,52
27,146
27,493
27,388
27,396
27,492
27,506
27,494
27,439
27,181
27,313
27,128
27,81
28,12
28,378
28,140
28,10
28,235
28,477
28,9
28,367
28,11
28,457
28,199
28,331
28,352
28,81
29,12
29,413
29,360
29,10
29,136
29,390
29,9
29,233
29,11
29,459
29,201
29,333
29,117
29,81
30,402
30,52
30,146
30,400
30,209
30,396
30,399
30,506
30,401
30,448
30,190
30,322
30,394
30,81
31,490
31,230
31,140
31,488
31,470
31,477
31,487
31,367
31,489
31,451
31,193
31,325
31,40
31,81
32,12
32,163
32,437
32,10
32,86
32,218
32,9
32,161
32,11
32,439
32,181
32,313
32,129
32,81
33,282
33,231
33,260
33,280
33,158
33,259
33,279
33,19
33,281
33,456
33,198
33,330
33,404
33,81
34,402
34,29
34,260
34,400
34,388
34,259
34,399
34,19
34,401
34,452
34,194
34,326
34,127
34,81
35,402
35,90
35,88
35,400
35,82
35,425
35,399
35,303
35,401
35,459
35,201
35,333
35,111
35,81
36,499
36,207
36,140
36,497
36,235
36,477
36,496
36,367
36,498
36,438
36,180
36,312
36,352
36,81
37,490
37,413
37,146
37,488
37,240
37,396
37,487
37,506
37,489
37,439
37,181
37,313
37,419
37,81
38,490
38,163
38,50
38,488
38,342
38,362
38,487
38,341
38,489
38,461
38,203
38,335
38,23
38,81
39,402
39,373
39,474
39,400
39,21
39,473
39,399
39,514
39,401
39,452
39,194
39,326
39,513
39,81
40,495
40,231
40,507
40,493
40,505
40,398
40,492
40,124
40,494
40,452
40,194
40,326
40,238
40,81
41,12
41,426
41,411
41,10
41,123
41,412
41,9
41,410
41,11
41,458
41,200
41,332
41,238
41,81
42,402
42,353
42,507
42,400
42,209
42,398
42,399
42,124
42,401
42,443
42,185
42,317
42,393
42,81
43,349
43,379
43,417
43,347
43,310
43,416
43,346
43,418
43,348
43,454
43,196
43,328
43,272
43,81
44,12
44,405
44,507
44,10
44,228
44,398
44,9
44,124
44,11
44,443
44,185
44,317
44,394
44,81
45,490
45,109
45,389
45,488
45,126
45,504
45,487
45,381
45,489
45,442
45,184
45,316
45,101
45,81
46,499
46,380
46,227
46,497
46,415
46,387
46,496
46,483
46,498
46,441
46,183
46,315
46,24
46,81
47,349
47,337
47,50
47,347
47,86
47,362
47,346
47,341
47,348
47,445
47,187
47,319
47,127
47,81
48,490
48,171
48,389
48,488
48,388
48,504
48,487
48,381
