id,name,element,title,image_url,weapon_type,rarity
3,Aether,Viajante,Viajante de outro mundo,https://enka.network/ui/UI_AvatarIcon_PlayerBoy.png,Espada,5
4,Aino,Hydro,Clinky-Clank Gadgets-A-Gogo,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Aino.png,Espadão,4
5,Albedo,Geo,Kreideprinz,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Albedo.png,Espada,5
6,Alhaitham,Dendro,Admonishing Instruction,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Alhatham.png,Espada,5
7,Aloy,Cryo,Savior From Another World,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Aloy.png,Arco,5
8,Alyosha,Electro,Swift-Striding Hound,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Alyosha.png,Lança,4
9,Amber,Pyro,Gliding Champion,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Ambor.png,Arco,4
10,Arataki Itto,Geo,Hanamizaka Heroics,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Itto.png,Espadão,5
11,Arlecchino,Pyro,Dire Balemoon,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Arlecchino.png,Lança,5
12,Baizhu,Dendro,Beyond Mortality,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Baizhuer.png,Catalisador,5
13,Barbara,Hydro,Shining Idol,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Barbara.png,Catalisador,4
14,Beidou,Electro,Uncrowned Lord of the Ocean,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Beidou.png,Espadão,4
15,Bennett,Pyro,Trial by Fire,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Bennett.png,Espada,4
16,Candace,Hydro,Golden Vow,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Candace.png,Lança,4
17,Charlotte,Cryo,Lens of Verity,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Charlotte.png,Catalisador,4
18,Chasca,Anemo,Skyborne Arbiter,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Chasca.png,Arco,5
19,Chevreuse,Pyro,Executor of Justice,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Chevreuse.png,Lança,4
20,Chiori,Geo,The Thundering Seamstress,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Chiori.png,Espada,5
21,Chongyun,Cryo,Frozen Ardor,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Chongyun.png,Espadão,4
22,Citlali,Cryo,Obsidian Opalstar,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Citlali.png,Catalisador,5
23,Clorinde,Electro,"Candlebearer, Shadowhunter",https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Clorinde.png,Espada,5
24,Collei,Dendro,Sprout of Rebirth,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Collei.png,Arco,4
25,Columbina,Hydro,Welkin Moon's Homecoming,https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Columbina.png,Catalisador,5
