name,type,location,farm_days
"Núcleo Aberrante da Sombra Profunda","Material de Fortalecimento de Arma e Personagem","Dropado por Pescadores das Profundezas Nv.40+","Todos os dias"
"Fragmento de Acreção","Material de Fortalecimento de Arma e Personagem","Dropado por Volkodlak Bruto","Todos os dias"
"Amplificação de Acreção","Material de Fortalecimento de Arma e Personagem","Dropado por Volkodlak Bruto Nv.60+","Todos os dias"
"Massa de Acreção","Material de Fortalecimento de Arma e Personagem","Dropado por Volkodlak Bruto Nv.40+","Todos os dias"
"EXP do Aventureiro","Material de EXP de Personagem","Recompensa de Expedição e Aventura","Todos os dias"
"Flor Que Ainda Não Floresceu","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurl Patrulheiro","Todos os dias"
"Brilho Residual da Noite Eterna","Material de Ascensão de Armas","Domínio da Forja: Hino de Preces","Ter, Sex, Dom"
"Faca Especial","Material de Fortalecimento de Arma e Personagem","Dropado pelos Agentes de Dívidas Fatui Nv.40+","Todos os dias"
"Pedaço de Ágata Agnidus","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Fragmento de Ágata Agnidus","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Gema de Ágata Agnidus","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Lasca de Ágata Agnidus","Material de Ascensão de Personagem","Comprado na Loja de Lembranças","Todos os dias"
"Núcleo Alienígena","Material de Fortalecimento de Arma e Personagem","Dropado por Primofissurador Nv.60+","Todos os dias"
"Fruto Tenkumo","Especialidade de Inazuma","Recomendação: Encontrado na Ilha Seirai","Todos os dias"
"Fragmento de Instrumento Arcano","Material de Ascensão de Armas","Domínio da Forja: Esplendor Radiante","Seg, Qui, Dom"
"Herança do Instrumento Arcano","Material de Ascensão de Armas","Domínio da Forja: Esplendor Radiante","Seg, Qui, Dom"
"Réplica de Instrumento Arcano","Material de Ascensão de Armas","Domínio da Forja: Esplendor Radiante","Seg, Qui, Dom"
"Desejo do Instrumento Arcano","Material de Ascensão de Armas","Domínio da Forja: Esplendor Radiante","Seg, Qui, Dom"
"Engrenagem Dinâmica","Material de Fortalecimento de Arma e Personagem","Dropado por Mecautômatos Nv. 60+","Todos os dias"
"Componente Mecânico Reserva: Coppelia","Material de Elevação de Personagem","Dropado por Suíte Criozéfira Nv.30+","Todos os dias"
"Componente Mecânico Reserva: Coppelius","Material de Elevação de Personagem","Dropado por Suíte Criozéfira Nv.30+","Todos os dias"
"Amostra Ascendida: Cavalo","Material de Elevação de Personagem","Recompensa do Desafio ""O Jogo Perante o Portão"" Nv.70+","Todos os dias"
"Amostra Ascendida: Rainha","Material de Elevação de Personagem","Recompensa do Desafio ""O Jogo Perante o Portão"" Nv.70+","Todos os dias"
"Amostra Ascendida: Torre","Material de Elevação de Personagem","Recompensa do Desafio ""O Jogo Perante o Portão"" Nv.70+","Todos os dias"
"Coração das Cinzas","Material de Elevação de Personagem","Recompensa do Desafio de Signora Nv.70+","Todos os dias"
"Exuberância do Herdeiro do Norte","Material de Ascensão de Armas","Domínio da Forja: Oblação Lunar","Qua, Sáb, Dom"
"Eixo da Fonte Secreta","Material de Fortalecimento de Arma e Personagem","Dropado por Autômato da Fonte Secreta: Caçador-Perseguidor","Todos os dias"
"Torre da Terra","Material de Elevação de Personagem","Dropado pelo Hypostasis Geo Nv.30+","Todos os dias"
"Concha de Cristal Azul","Especialidade de Fontaine","Recomendação: Encontrado na Planície Salacia","Todos os dias"
"Folha Desconcertante","Material de Fortalecimento de Arma e Personagem","Dropado por Mimiflora Abissal Nv.40+","Todos os dias"
"Fragmento de Aerosiderite","Material de Ascensão de Armas","Domínio da Forja: Campo de Julgamento dos Trovões","Qua, Sáb, Dom"
"Chifre de Bronze Negro","Material de Fortalecimento de Arma e Personagem","Dropado por Mitachurls Nv.40+","Todos os dias"
"Chifre de Cristal Preto","Material de Fortalecimento de Arma e Personagem","Dropado por Mitachurls Nv.60+","Todos os dias"
"Fulgor da Noite Eterna","Material de Ascensão de Armas","Domínio da Forja: Hino de Preces","Ter, Sex, Dom"
"Concha Prismática Ardente","Material de Fortalecimento de Arma e Personagem","Dropado por Furões da Montanha Concha de Fornalha Nv.60+","Todos os dias"
"Hesitação do Sacrifício do Coração Flamejante","Material de Ascensão de Armas","Domínio da Forja: Visão do Submundo","Seg, Qui, Dom"
"Determinação do Sacrifício do Coração Flamejante","Material de Ascensão de Armas","Domínio da Forja: Visão do Submundo","Seg, Qui, Dom"
"Esplendor do Sacrifício do Coração Flamejante","Material de Ascensão de Armas","Domínio da Forja: Visão do Submundo","Seg, Qui, Dom"
"Terror do Sacrifício do Coração Flamejante","Material de Ascensão de Armas","Domínio da Forja: Visão do Submundo","Seg, Qui, Dom"
"Galho de Jade de Sangue","Material de Elevação de Personagem","Recompensa do Desafio de Azhdaha Nv.70+","Todos os dias"
"Presa Quebrada do Lobo Boreal","Material de Ascensão de Armas","Domínio da Forja: Vale Submerso","Ter, Sex, Dom"
"Dente Rachado do Lobo Boreal","Material de Ascensão de Armas","Domínio da Forja: Vale Submerso","Ter, Sex, Dom"
"Dente de Leite do Lobo Boreal","Material de Ascensão de Armas","Domínio da Forja: Vale Submerso","Ter, Sex, Dom"
"Nostalgia do Lobo Boreal","Material de Ascensão de Armas","Domínio da Forja: Vale Submerso","Ter, Sex, Dom"
"Crisântemo Brilhante","Especialidade de Natlan","Recomendação: Encontrado na Colina Huitztli","Todos os dias"
"Pedaço de Diamante Brilhante","Material de Ascensão de Personagem","Recompensas de Rank de Aventura","Todos os dias"
"Fragmento de Diamante Brilhante","Material de Ascensão de Personagem","Recompensas de Rank de Aventura","Todos os dias"
"Gema de Diamante Brilhante","Material de Ascensão de Personagem","Recompensas de Rank de Aventura","Todos os dias"
"Lasca de Diamante Brilhante","Material de Ascensão de Personagem","Recompensas de Rank de Aventura","Todos os dias"
"Eixo Destruído","Material de Fortalecimento de Arma e Personagem","Dropado por Cruzadores Patrulheiros","Todos os dias"
"Cálice Quebrado do Mar Pristino","Material de Ascensão de Armas","Domínio da Forja: Mecanismos Engenhosos","Qua, Sáb, Dom"
"Lótus de Leite","Especialidade de Mondstadt","Encontrado perto do lagos","Todos os dias"
"Cecília","Especialidade de Mondstadt","Recomendação: Encontrado em Penhascos das Estrelas","Todos os dias"
"Correntes do Gladiador de Dandelion","Material de Ascensão de Armas","Domínio da Forja: Ruínas da Capital Sedenta","Qua, Sáb, Dom"
