weapon_id,material_id
1,159
1,302
1,260
1,64
1,306
1,259
1,275
1,305
1,19
1,119
2,78
2,74
2,301
2,224
2,76
2,229
2,223
2,75
2,142
2,173
3,144
3,59
3,411
3,54
3,57
3,412
3,392
3,58
3,410
3,113
4,78
4,60
4,301
4,224
4,55
4,229
4,223
4,62
4,142
4,173
5,144
5,59
5,411
5,54
5,57
5,412
5,392
5,58
5,410
5,113
6,15
6,139
6,50
6,17
6,155
6,362
6,16
6,225
6,341
6,18
7,471
7,205
7,88
7,95
7,32
7,425
7,160
8,244
8,170
8,417
8,247
8,91
8,416
8,363
8,94
8,418
8,106
9,471
9,205
9,146
9,95
9,32
9,396
9,160
9,33
9,506
9,383
10,290
10,27
10,227
10,291
10,397
10,387
10,289
10,204
10,483
10,292
11,290
11,361
11,389
11,291
11,30
11,504
11,289
11,217
11,381
11,292
12,433
12,156
12,437
12,486
12,102
12,218
12,299
12,484
12,161
12,26
13,471
13,164
13,50
13,95
13,166
13,362
13,160
13,165
13,341
13,383
14,39
14,27
14,227
14,36
14,397
14,387
14,37
14,204
14,483
14,38
15,297
15,89
15,167
15,295
15,480
15,243
15,296
15,358
15,83
15,298
16,290
16,361
16,389
16,291
16,30
16,504
16,289
16,217
16,381
16,292
17,43
17,157
17,476
17,42
17,429
17,407
17,41
17,153
17,176
17,44
18,51
18,6
18,507
18,509
18,475
18,398
18,406
18,502
18,124
18,175
19,120
19,103
19,140
19,364
19,430
19,477
19,112
19,251
19,367
19,300
20,144
20,59
20,107
20,54
20,57
20,386
20,392
21,244
21,212
21,107
21,247
21,8
21,386
21,363
21,220
21,151
21,106
22,244
22,212
22,146
22,247
22,8
22,396
22,363
22,220
22,506
22,106
23,269
23,263
23,360
23,270
23,262
23,390
23,268
23,264
23,233
23,271
24,269
24,263
24,360
24,270
24,262
24,390
24,268
24,264
24,233
24,271
25,244
25,212
25,507
25,247
25,8
25,398
25,363
25,220
25,124
25,106
26,15
26,164
26,437
26,17
26,166
26,218
26,16
26,165
26,161
26,18
27,179
27,157
27,146
27,336
27,429
27,396
27,31
27,153
27,506
27,67
28,371
28,210
28,66
28,277
28,424
28,434
28,68
28,72
28,343
28,479
29,122
29,266
29,437
29,7
29,267
29,218
29,147
29,265
29,161
29,34
30,43
30,92
30,146
30,42
30,93
30,396
30,41
30,232
30,506
30,44
31,96
31,361
31,389
31,98
31,30
31,504
31,97
31,217
31,381
31,99
32,269
32,263
32,507
32,270
32,262
32,398
32,268
32,264
32,124
32,271
33,51
33,302
33,474
33,509
33,306
33,473
33,406
33,305
33,514
33,175
34,290
34,143
34,227
34,291
34,246
34,387
34,289
34,65
34,483
34,292
35,471
35,59
35,88
35,95
35,57
35,425
35,160
35,58
35,303
35,383
36,77
36,89
36,140
36,222
36,480
36,477
36,408
36,358
36,367
36,177
37,179
37,374
37,360
37,336
37,420
37,390
37,31
37,427
37,233
37,67
38,179
38,157
38,360
38,336
38,429
38,390
38,31
38,153
38,233
38,67
39,471
39,205
39,146
39,95
39,32
39,396
39,160
39,33
39,506
39,383
40,371
40,210
40,66
40,277
40,424
40,434
40,68
40,72
40,343
40,479
41,269
41,143
41,107
41,270
41,246
41,386
41,268
41,65
41,151
41,271
42,244
42,212
42,476
42,247
42,8
42,407
42,363
42,220
42,176
42,106
43,51
43,374
43,260
43,509
43,420
43,259
43,406
43,427
43,19
43,175
44,244
44,212
44,88
44,247
44,8
44,425
44,363
44,220
44,303
44,106
45,15
45,164
45,437
45,17
45,166
45,218
45,16
45,165
45,161
45,18
46,43
46,92
46,507
46,42
46,93
46,398
46,41
46,232
46,124
46,44
47,269
47,263
47,88
47,270
47,262
47,425
47,268
47,264
47,303
47,271
48,77
48,143
48,417
48,222
48,246
48,416
48,408
48,65
48,418
48,177
49,471
49,236
49,507
49,95
49,172
49,398
49,160
49,357
49,124
49,383
50,43
50,92
50,88
50,42
50,93
50,425
50,41
50,232
50,303
50,44
51,269
51,263
51,107
51,270
51,262
51,386
51,268
51,264
51,151
51,271
52,43
52,263
52,360
52,42
52,262
52,390
52,41
52,264
52,233
52,44
53,471
53,205
53,146
53,95
53,32
53,396
53,160
54,39
54,216
54,389
54,36
54,214
54,504
54,37
54,215
54,381
54,38
55,371
55,2
55,133
55,277
55,4
55,131
55,68
55,3
55,132
55,479
56,43
56,205
56,360
56,42
56,32
56,390
56,41
56,33
56,233
56,44
57,371
57,2
57,133
57,277
57,4
57,131
57,68
57,3
57,132
57,479
58,244
58,212
58,476
58,247
58,8
58,407
58,363
58,220
58,176
58,106
59,120
59,219
59,167
59,364
59,108
59,243
59,112
59,372
59,83
59,300
60,257
60,60
60,301
60,255
60,55
60,229
60,254
60,62
60,142
60,253
61,433
61,236
61,437
61,486
61,172
61,218
61,299
61,357
61,161
61,26
62,78
62,105
62,417
62,224
62,85
62,416
62,223
62,339
62,418
62,173
63,468
63,2
63,133
63,465
63,4
63,131
63,467
63,3
63,132
63,466
64,269
64,263
64,88
64,270
64,262
64,425
64,268
64,264
64,303
64,271
65,179
65,212
65,107
65,336
65,8
65,386
65,31
65,220
65,151
65,67
66,96
66,216
66,389
66,98
66,214
66,504
66,97
66,215
66,381
66,99
67,471
67,205
67,107
67,95
67,32
67,386
67,160
67,33
67,151
67,383
68,144
68,59
68,360
68,54
68,57
68,390
68,392
68,58
68,233
68,113
69,144
69,59
69,411
69,54
69,57
69,412
69,392
69,58
69,410
69,113
70,471
70,205
70,146
70,95
70,32
70,396
70,160
70,33
70,506
70,383
71,144
71,59
71,507
71,54
71,57
71,398
71,392
71,58
71,124
71,113
72,471
72,205
72,507
72,95
72,32
72,398
72,160
72,33
72,124
72,383
73,144
73,205
73,360
73,54
73,32
73,390
73,392
73,33
73,233
73,113
74,269
74,263
74,476
74,270
74,262
74,407
74,268
74,264
74,176
74,271
75,115
75,114
75,301
75,432
75,384
75,229
75,422
75,288
75,142
75,130
76,96
76,73
76,474
76,98
76,503
76,473
76,97
76,35
76,514
76,99
77,159
77,114
77,474
77,64
77,384
77,473
77,275
77,288
77,514
77,119
78,290
78,216
78,389
78,291
78,214
78,504
78,289
78,215
78,381
78,292
79,115
79,369
79,474
79,432
79,152
79,473
79,422
79,13
79,514
79,130
80,39
80,374
80,227
80,36
80,420
80,387
80,37
80,427
80,483
80,38
81,96
81,27
81,389
81,98
81,397
81,504
81,97
81,204
81,381
81,99
82,77
82,63
82,140
82,222
82,61
82,477
82,408
82,56
82,367
82,177
83,115
83,374
83,474
83,432
83,420
83,473
83,422
83,427
83,514
83,130
84,39
84,73
84,227
84,36
84,503
84,387
84,37
84,35
84,483
84,38
85,144
85,59
85,107
85,54
85,57
85,386
85,392
85,58
85,151
85,113
86,144
86,59
86,507
86,54
86,57
86,398
86,392
86,58
86,124
86,113
87,258
87,2
87,66
87,221
87,4
87,434
87,138
87,3
87,343
87,366
88,290
88,27
88,227
88,291
88,397
88,387
88,289
88,204
88,483
88,292
89,297
89,170
89,167
89,295
89,91
89,243
89,296
89,94
89,83
89,298
90,43
90,154
90,360
90,42
90,1
90,390
90,41
90,211
90,233
90,44
91,122
91,139
91,437
91,7
91,155
91,218
91,147
91,225
91,161
91,34
92,78
92,105
92,107
92,224
92,85
92,386
92,223
92,339
92,151
92,173
93,269
93,263
93,507
93,270
93,262
93,398
93,268
93,264
93,124
93,271
94,287
94,105
94,146
94,285
94,85
94,396
94,284
94,339
94,506
94,286
95,287
95,170
95,301
95,285
95,91
95,229
95,284
95,94
95,142
95,286
96,43
96,92
96,411
96,42
96,93
96,412
96,41
96,232
96,410
96,44
97,39
97,73
97,389
97,36
97,503
97,504
97,37
97,35
97,381
97,38
98,43
98,92
98,476
98,42
98,93
98,407
98,41
99,120
99,219
99,140
99,364
99,108
99,477
99,112
99,372
99,367
99,300
100,77
100,6
100,140
100,222
100,475
100,477
100,408
100,502
100,367
100,177
101,144
101,59
101,107
101,54
101,57
101,386
101,392
102,179
102,157
102,507
102,336
102,429
102,398
102,31
102,153
102,124
102,67
103,244
103,6
103,167
103,247
103,475
103,243
103,363
103,502
103,83
103,106
104,179
104,157
104,360
104,336
104,429
104,390
104,31
104,153
104,233
104,67
105,257
105,170
105,417
105,255
105,91
105,416
105,254
105,94
105,418
105,253
106,257
106,74
106,417
106,255
106,76
106,416
106,254
106,75
106,418
106,253
107,287
107,60
107,301
107,285
107,55
107,229
107,284
107,62
107,142
107,286
108,77
108,89
108,140
108,222
108,480
108,477
108,408
108,358
108,367
108,177
109,120
109,219
109,146
109,364
109,108
109,396
109,112
109,372
109,506
109,300
110,257
110,60
110,476
110,255
110,55
110,407
110,254
110,62
110,176
110,253
111,179
111,266
111,50
111,336
111,267
111,362
111,31
111,265
111,341
111,67
112,77
112,103
112,140
112,222
112,430
112,477
112,408
112,251
112,367
112,177
113,244
113,212
113,476
113,247
113,8
113,407
113,363
113,220
113,176
113,106
114,244
114,212
114,146
114,247
114,8
114,396
114,363
114,220
114,506
114,106
115,179
115,157
115,146
115,336
115,429
115,396
115,31
115,153
115,506
115,67
116,144
116,59
116,411
116,54
116,57
116,412
116,392
116,58
116,410
116,113
117,51
117,374
117,507
117,509
117,420
117,398
117,406
117,427
117,124
117,175
118,179
118,157
118,411
118,336
118,429
118,412
118,31
118,153
118,410
118,67
119,471
119,205
119,411
119,95
119,32
119,412
119,160
119,33
119,410
119,383
120,144
120,103
