id,name,type,image_url,rarity,weapon_type
1,Absolvição,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Estoc.png,5,Espada
2,Akuoumaru,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Maria.png,4,Espadão
3,Caçador do Beco,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Outlaw.png,4,Arco
4,Lâmina Amenoma Kageuta,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Bakufu.png,4,Espada
5,Arco de Amos,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Amos.png,5,Arco
6,Os Sete Éditos da Poeira e Luz,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_FairyGarden.png,4,Catalisador
7,Anotações do Aprendiz,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Apprentice.png,1,Catalisador
8,Aqua Simulacra,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Kirin.png,5,Arco
9,Falcão,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Falcon.png,5,Espada
10,Cálice de Chifre Cinza Escarlate,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_ConchSprayer.png,4,Catalisador
11,Plumagem Escarlate do Abutre Astral,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Qoyllorsnova.png,5,Arco
12,Chave da Transcendência,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_CrystallineSword.png,5,Espadão
13,Corrupção Sombria,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Motsognir.png,4,Espada
14,Mil Sóis Ardentes,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_RadianceSword.png,5,Espadão
15,Sonhos Flutuantes das Mil Noites,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Ayus.png,5,Catalisador
16,Azul Brilhante,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_OuterSword.png,5,Espada
17,Canção do Vasto Azul,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_DandelionPoem.png,4,Catalisador
18,Canção do Fiorde,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Shanty.png,4,Lança
19,Sinal dos Mares,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Deshret.png,5,Espadão
20,Protetor de Iniciante,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Gewalt.png,1,Lança
21,Ágata do Penhasco Obscuro,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Blackrock.png,4,Catalisador
22,Espada do Penhasco Obscuro,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Blackrock.png,4,Espada
23,Lança do Penhasco Obscuro,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Blackrock.png,4,Lança
24,Foice do Penhasco Obscuro,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Blackrock.png,4,Espadão
25,Arco do Penhasco Obscuro,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Blackrock.png,4,Arco
26,Lanterna do Tutano Preto,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Ilmarinen.png,4,Catalisador
27,Borla Preta,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Noire.png,3,Lança
28,Lâmina da Redenção,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_GlintstoneClaymore.png,4,Espadão
29,Ruínas Ensanguentadas,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_TummaLyhty.png,4,Lança
30,Espadão Sangrento,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Siegfry.png,3,Espadão
31,Calamidade de Eshu,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_SacrificialNgombe.png,4,Espada
32,Subjugadora de Calamidades,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Santika.png,5,Lança
33,Supervisão de Caixa,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Wheatley.png,5,Catalisador
34,Quebrador de Correntes,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Isikhulu.png,4,Arco
35,Haste de Cinábrio,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Opus.png,4,Espada
36,Duelo de Reis,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_SandMemoria.png,4,Catalisador
37,Tocador de Nuvens,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Ultimatum.png,4,Arco
38,Arco Composto,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Exotic.png,4,Arco
39,Lâmina Fria,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Steel.png,3,Espada
40,Pacto do Gelo e Neve,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_GlintstoneBow.png,4,Arco
41,Chamado Ecoante da Garça,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_MountainGale.png,5,Catalisador
42,Pique Crescente,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Exotic.png,4,Lança
43,Semblante da Lua Carmesim,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_BloodMoon.png,5,Lança
44,Espada de Ferro Negro,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Darker.png,3,Espada
45,Estrela Gelada,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Ziedas.png,3,Catalisador
46,Lança do Duelo,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Gladiator.png,4,Lança
47,Pacifista,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Reasoning.png,4,Espadão
48,Conversas dos Sábios do Deserto,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Caduceus.png,4,Lança
49,Desastre e Remorso,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Carbine.png,5,Lança
50,Contos de Dodoco,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Ludiharpastum.png,4,Catalisador
51,Perdição do Dragão,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Stardust.png,3,Lança
52,Lança da Espinha do Dragão,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Everfrost.png,4,Lança
53,Lâmina Sem Fio,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Blunt.png,1,Espada
54,Estremecedor da Terra,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Isikhulu.png,4,Espadão
55,Ecos do Coração,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_GlintstoneCatalyst.png,4,Catalisador
56,Elegia do Suspiro Final,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Widsith.png,5,Arco
57,Fonte da Ignição,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_GlintstoneSword.png,4,Espada
58,Orbe de Esmeralda,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Jade.png,3,Catalisador
59,Águas Secas,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Fin.png,4,Arco
60,Luz do Cortador de Grama,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Narukami.png,5,Lança
61,Lira do Tecedor da Luz,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_SeeliesLute.png,5,Catalisador
62,Fumetsu Gekka,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Kaleido.png,5,Catalisador
63,Sabre da Ponta Estelar,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_WeaponQuestSnezhnaya.png,4,Espada
64,Olho da Percepção,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Truelens.png,4,Catalisador
65,Crepúsculo Desvanecido,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Fallensun.png,4,Arco
66,Presa do Rei da Montanha,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_EmeraldSword.png,5,Espadão
67,Codex de Favonius,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Zephyrus.png,4,Catalisador
68,Grande Espada de Favonius,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Zephyrus.png,4,Espadão
69,Lança de Favonius,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Zephyrus.png,4,Lança
70,Espada de Favonius,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Zephyrus.png,4,Espada
71,Arco de Favonius,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Zephyrus.png,4,Arco
72,Sombra de Ferro,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Glaive.png,3,Espadão
73,Espada Pútrida,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Magnum.png,4,Espada
74,Lâmina de Filés,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Sashimi.png,3,Espada
75,Epílogo das Profundezas,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Vorpal.png,4,Espada
76,Forja da Sabedoria,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Polilith.png,4,Espadão
77,Cruzamento de Fleuve Cendre,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Machination.png,4,Espada
78,Penas Cercadas de Flores,Arco,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Bow_Umpakati.png,4,Arco
79,Fluxo da Pureza,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Vorpal.png,4,Catalisador
80,Flauta de Ezpitzal,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Isikhulu.png,4,Espada
81,Trilha do Arco-Íris,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Isikhulu.png,4,Lança
82,Espada Real da Floresta,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_Arakalari.png,4,Espadão
83,Forjada pela Lei Dourada,Espadão,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Claymore_EscapeWheel.png,4,Espadão
84,Resplendor Fragmentado,Lança,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Pole_Perdix.png,4,Lança
85,Juramento pela Liberdade,Espada,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Sword_Widsith.png,4,Espada
86,Fruto do Sabugueiro,Catalisador,https://upload-os-bbs.mihoyo.com/game_record/genshin/equip/UI_EquipIcon_Catalyst_Everfrost.png,4,Catalisador
